conversation_id, msg_text, msg_time, sender
1,Hi. This is Shubham.,02-15-2023 10:07:00PM,skulkarn@ucsd.edu
1,Hi Shubham. This is Manasi.,02-15-2023 10:07:02PM,maagrawa@ucsd.edu
1,Hi Manasi. How can I help you today?,02-15-2023 10:07:03PM,skulkarn@ucsd.edu
1,I need a tour for 625 8th Avenue New York NY. Please get this done ASAP.,02-15-2023 10:07:06PM,maagrawa@ucsd.edu
1,On my way now.,02-15-2023 10:07:10PM,skulkarn@ucsd.edu
1,Tour is complete. Please leave a review!,02-15-2023 10:07:16PM,skulkarn@ucsd.edu
1,Thanks for your work!,02-15-2023 10:07:25PM,maagrawa@ucsd.edu
1,Thanks Manasi!,02-15-2023 10:51:00PM,skulkarn@ucsd.edu
2,Hi. This is Ajinkya.,02-15-2023 10:08:00PM,abokade@ucsd.edu
2,Hi Ajinkya. This is Shanay.,02-15-2023 10:08:02PM,shs004@ucsd.edu
2,Hi Shanay. How can I help you today?,02-15-2023 10:08:03PM,abokade@ucsd.edu
2,I need a tour for 37 W Van Buren Street Chicago IL 60605. Please get this done ASAP.,02-15-2023 10:08:06PM,shs004@ucsd.edu
2,On my way now.,02-15-2023 10:08:10PM,abokade@ucsd.edu
2,Tour is complete. Please leave a review!,02-15-2023 10:08:16PM,abokade@ucsd.edu
2,Thanks Ajinkya!,02-15-2023 10:52:00PM,shs004@ucsd.edu
3,Hi. This is Guy.,02-15-2023 10:09:00PM,gnir@ucsd.edu
3,Hi Guy. This is Yang.,02-15-2023 10:09:02PM,yaz083@ucsd.edu
3,Hi Yang. How can I help you today?,02-15-2023 10:09:03PM,gnir@ucsd.edu
3,I need a tour for 9500 Gilman Drive La Jolla CA 92092. Please get this done ASAP.,02-15-2023 10:09:06PM,yaz083@ucsd.edu
3,On my way now.,02-15-2023 10:09:10PM,gnir@ucsd.edu
3,Tour is complete. Please leave a review!,02-15-2023 10:09:16PM,gnir@ucsd.edu
3,Thanks Guy!,02-15-2023 10:53:00PM,yaz083@ucsd.edu
